#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor x0 dx0
SDSS7779 999 0.381200 999 21.922254 999 1.321104 0.635218 -0.102435 0.042791 999 999 53675.694690 0.599933 999 999 999 999 999 999 999 3.062237e-05 1.245882e-06
04D2fs 999 0.357000 999 22.425346 999 0.094267 0.101974 0.060999 0.025728 999 999 53107.697640 0.128278 999 999 999 999 999 999 999 1.933277e-05 4.711332e-07
SDSS6315 999 0.267000 999 20.924988 999 -0.091424 0.362849 -0.194026 0.037190 999 999 53676.663591 0.331858 999 999 999 999 999 999 999 7.668957e-05 2.481993e-06
05D3kt 999 0.648000 999 23.971641 999 -0.433708 0.194703 0.062994 0.048103 999 999 53530.947728 0.271255 999 999 999 999 999 999 999 4.640235e-06 1.310597e-07
SDSS5549 999 0.121000 999 19.646388 999 0.253292 0.097169 0.005375 0.022041 999 999 53666.084608 0.103616 999 999 999 999 999 999 999 2.486905e-04 6.318404e-06
Vilas 999 0.935000 999 24.481879 999 0.055659 0.290021 -0.025519 0.058837 999 999 52726.208114 1.379536 999 999 999 999 999 999 999 2.906923e-06 1.119878e-07
SDSS16402 999 0.290000 999 20.859665 999 -0.864265 0.783508 -0.186534 0.042463 999 999 54059.496420 0.554902 999 999 999 999 999 999 999 8.142726e-05 3.064587e-06
SDSS12950 999 0.082660 999 18.913951 999 -0.331287 0.061085 -0.005191 0.020441 999 999 54000.046063 0.068174 999 999 999 999 999 999 999 4.883740e-04 1.146657e-05
06D4co 999 0.437000 999 22.527838 999 -0.404441 0.093369 -0.044327 0.023103 999 999 53940.300373 0.160005 999 999 999 999 999 999 999 1.755086e-05 3.912506e-07
SDSS2330 999 0.213200 999 21.772505 999 -1.884615 0.549263 0.044889 0.056503 999 999 53635.472063 0.495469 999 999 999 999 999 999 999 3.508966e-05 1.982901e-06
SDSS3377 999 0.245100 999 20.796790 999 1.039997 0.301130 -0.079965 0.035094 999 999 53645.938386 0.322590 999 999 999 999 999 999 999 8.640932e-05 3.012191e-06
sn2006et 999 0.022172 999 15.952728 999 0.936316 0.151531 0.121890 0.029016 999 999 53994.447538 0.221396 999 999 999 999 999 999 999 7.421138e-03 2.224101e-04
04D2gp 999 0.732000 999 24.198842 999 -1.350124 0.412896 -0.138379 0.085176 999 999 53110.448374 0.588995 999 999 999 999 999 999 999 3.756646e-06 1.747741e-07
05D1cc 999 0.564000 999 23.509641 999 -0.152152 0.152468 -0.006525 0.031033 999 999 53607.888997 0.230133 999 999 999 999 999 999 999 7.107308e-06 1.865667e-07
SDSS15674 999 0.198000 999 21.016139 999 -0.341581 0.302187 0.004395 0.037167 999 999 54040.283331 0.233354 999 999 999 999 999 999 999 7.044209e-05 2.956642e-06
06D2ck 999 0.552000 999 23.413481 999 0.009387 0.393436 -0.031411 0.037788 999 999 53793.697591 0.418824 999 999 999 999 999 999 999 7.798302e-06 2.413782e-07
06D2cc 999 0.532000 999 23.458483 999 -0.572155 0.328519 0.084253 0.049252 999 999 53788.586485 0.449214 999 999 999 999 999 999 999 7.473353e-06 2.886041e-07
05D3km 999 0.960000 999 24.697058 999 0.348439 0.309616 -0.181789 0.048496 999 999 53522.924173 0.443174 999 999 999 999 999 999 999 2.324143e-06 1.209915e-07
04D1hx 999 0.560000 999 23.702542 999 0.290151 0.189824 0.114745 0.034847 999 999 53260.057873 0.268665 999 999 999 999 999 999 999 5.940717e-06 1.448281e-07
SDSS19940 999 0.147000 999 19.797753 999 0.991575 0.206109 -0.005119 0.024548 999 999 54407.852381 0.172440 999 999 999 999 999 999 999 2.164159e-04 5.696307e-06
sn2002jy 999 0.021000 999 15.728976 999 0.976721 0.103918 -0.035188 0.021721 999 999 52634.380919 0.281579 999 999 999 999 999 999 999 9.143123e-03 2.148542e-04
SDSS11206 999 0.381900 999 22.200665 999 -1.540007 0.902994 -0.204920 0.084772 999 999 53697.297799 1.671921 999 999 999 999 999 999 999 2.367288e-05 1.814472e-06
SDSS16213 999 0.250000 999 21.127036 999 0.279188 0.430298 -0.096786 0.038363 999 999 54053.580407 0.414462 999 999 999 999 999 999 999 6.366744e-05 2.292859e-06
sn2004l 999 0.032309 999 17.348411 999 -0.986525 0.239020 0.172698 0.029102 999 999 53031.303274 0.674816 999 999 999 999 999 999 999 2.048773e-03 7.317493e-05
04D1hd 999 0.369000 999 22.156680 999 0.789359 0.067838 -0.092397 0.021940 999 999 53268.297806 0.081487 999 999 999 999 999 999 999 2.469531e-05 5.534663e-07
SDSS18749 999 0.188000 999 21.075184 999 -1.441382 0.374345 0.065593 0.032762 999 999 54385.105863 0.432687 999 999 999 999 999 999 999 6.667174e-05 2.214959e-06
SDSS19543 999 0.123000 999 19.943597 999 -0.835464 0.136707 -0.021872 0.023909 999 999 54401.005672 0.119820 999 999 999 999 999 999 999 1.891654e-04 5.138601e-06
SDSS21033 999 0.229000 999 20.999940 999 -0.794022 0.518700 -0.087323 0.040572 999 999 54421.076846 0.556703 999 999 999 999 999 999 999 7.159262e-05 2.588694e-06
SDSS20575 999 0.196000 999 20.620076 999 0.161052 0.494893 0.034213 0.032157 999 999 54416.307933 0.446709 999 999 999 999 999 999 999 1.014369e-04 3.388731e-06
SDSS15648 999 0.175020 999 21.030689 999 -1.454578 0.365514 0.114371 0.044067 999 999 54042.563941 0.291380 999 999 999 999 999 999 999 6.941172e-05 3.661564e-06
sn2001en 999 0.015871 999 15.063086 999 -0.916347 0.069289 0.001697 0.023347 999 999 52193.362428 0.327409 999 999 999 999 999 999 999 1.685500e-02 4.673229e-04
