#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor x0 dx0
Eagle 999 1.020000 999 24.965302 999 0.305009 0.291599 -0.103778 0.060279 999 999 53295.094941 0.696056 999 999 999 999 999 999 999 1.862757e-06 5.343143e-08
05D3ci 999 0.515000 999 23.628876 999 2.165300 0.579571 0.168589 0.043542 999 999 53432.384905 0.408415 999 999 999 999 999 999 999 6.367982e-06 3.837060e-07
SDSS14212 999 0.205400 999 20.910812 999 -0.339450 0.174591 -0.032364 0.033305 999 999 54012.948751 0.182892 999 999 999 999 999 999 999 7.765140e-05 2.648925e-06
sn1996bv 999 0.016672 999 15.333825 999 0.822379 0.270570 0.164300 0.028507 999 999 50404.162462 0.615613 999 999 999 999 999 999 999 1.311655e-02 4.660524e-04
03D4gf 999 0.580000 999 23.325715 999 0.510371 0.323433 -0.035659 0.040020 999 999 52936.582148 0.419456 999 999 999 999 999 999 999 8.413924e-06 2.207991e-07
05D4ef 999 0.605000 999 23.832618 999 -1.554681 0.207900 -0.071677 0.035925 999 999 53625.594066 0.279029 999 999 999 999 999 999 999 5.272767e-06 1.537279e-07
SDSS15433 999 0.221100 999 20.942474 999 -0.087187 0.260404 -0.067659 0.035697 999 999 54037.383013 0.249794 999 999 999 999 999 999 999 7.545112e-05 2.671879e-06
SDSS21502 999 0.089160 999 18.823325 999 -0.319578 0.240381 -0.051393 0.024075 999 999 54427.274801 0.207057 999 999 999 999 999 999 999 5.310188e-04 1.479032e-05
SDSS17811 999 0.200000 999 20.488317 999 1.032043 0.301489 -0.097380 0.027206 999 999 54355.288810 0.272941 999 999 999 999 999 999 999 1.146203e-04 3.827155e-06
SDSS3080 999 0.175000 999 20.240401 999 0.119927 0.189980 -0.049742 0.024285 999 999 53647.652923 0.142854 999 999 999 999 999 999 999 1.439962e-04 4.183816e-06
SDSS12843 999 0.166950 999 20.409731 999 -1.018789 0.298890 0.037450 0.034755 999 999 53982.098748 0.195491 999 999 999 999 999 999 999 1.230972e-04 5.417834e-06
SDSS20111 999 0.245000 999 21.411303 999 -0.029666 0.581661 0.009062 0.044235 999 999 54410.055929 0.488954 999 999 999 999 999 999 999 4.896781e-05 2.071722e-06
06D3el 999 0.519000 999 22.877364 999 0.769341 0.108665 -0.144104 0.027024 999 999 53894.381277 0.121216 999 999 999 999 999 999 999 1.276276e-05 2.893738e-07
SDSS18298 999 0.119820 999 20.538230 999 -2.735932 0.290348 0.254631 0.048079 999 999 54374.330926 0.212611 999 999 999 999 999 999 999 1.088248e-04 6.827376e-06
04D4bq 999 0.550000 999 23.340036 999 0.654056 0.260428 0.099764 0.038614 999 999 53193.687212 0.298492 999 999 999 999 999 999 999 8.294413e-06 2.518290e-07
SDSS19616 999 0.165490 999 20.241688 999 0.152332 0.192872 -0.023216 0.027610 999 999 54403.533042 0.138891 999 999 999 999 999 999 999 1.438755e-04 4.548525e-06
SDSS1032 999 0.129760 999 20.334783 999 -2.528371 0.200138 0.050794 0.036789 999 999 53626.522665 0.199018 999 999 999 999 999 999 999 1.319830e-04 5.007432e-06
05D2ah 999 0.184000 999 20.757928 999 -0.074987 0.047600 0.001007 0.025929 999 999 53382.699870 0.063355 999 999 999 999 999 999 999 8.983213e-05 2.496023e-06
04D2ja 999 0.740000 999 24.079610 999 0.351283 0.402743 -0.201003 0.071135 999 999 53123.199034 0.482633 999 999 999 999 999 999 999 4.188553e-06 1.996331e-07
SDSS19282 999 0.177000 999 20.290667 999 1.224548 0.237084 -0.038586 0.024890 999 999 54397.434307 0.162778 999 999 999 999 999 999 999 1.374404e-04 4.037041e-06
05D3lr 999 0.600000 999 23.846793 999 0.181969 0.344785 0.103471 0.039450 999 999 53541.025431 0.312969 999 999 999 999 999 999 999 5.210572e-06 1.825798e-07
SDSS17875 999 0.212000 999 21.021133 999 1.121208 0.320174 -0.030633 0.038450 999 999 54362.456863 0.401764 999 999 999 999 999 999 999 7.017229e-05 2.652772e-06
sn1994s 999 0.015177 999 14.763004 999 0.222790 0.189096 -0.064677 0.031399 999 999 49518.395324 0.244285 999 999 999 999 999 999 999 2.226795e-02 7.092308e-04
sn1993h 999 0.024207 999 16.677557 999 -2.156375 0.067380 0.111565 0.029178 999 999 49067.459274 0.259140 999 999 999 999 999 999 999 3.802164e-03 1.215139e-04
sn2005bo 999 0.013900 999 15.621458 999 -1.162169 0.108131 0.205427 0.019991 999 999 53478.746018 0.140017 999 999 999 999 999 999 999 1.005941e-02 1.827323e-04
04D2gc 999 0.521000 999 23.332177 999 1.140115 0.213716 0.018300 0.039184 999 999 53118.116352 0.256738 999 999 999 999 999 999 999 8.403788e-06 2.407718e-07
04D4ih 999 0.934000 999 24.354137 999 0.321964 0.344552 -0.216483 0.052339 999 999 53269.567599 0.426245 999 999 999 999 999 999 999 3.185489e-06 1.679356e-07
05D3ax 999 0.643000 999 23.612466 999 0.595723 3.388206 -0.063327 0.241435 999 999 53399.921021 1.069000 999 999 999 999 999 999 999 6.468217e-06 2.530769e-06
05D4ej 999 0.585000 999 23.713973 999 0.210866 0.173534 -0.019953 0.035348 999 999 53627.790962 0.190312 999 999 999 999 999 999 999 5.883137e-06 1.552563e-07
SDSS20470 999 0.125000 999 19.951275 999 0.657479 0.428764 0.044213 0.029078 999 999 54419.227986 0.369644 999 999 999 999 999 999 999 1.879678e-04 5.532032e-06
Elvis 999 0.839000 999 24.362745 999 -0.082593 0.330291 -0.019523 0.039682 999 999 52782.899477 0.893992 999 999 999 999 999 999 999 3.243907e-06 7.242122e-08
SDSS20245 999 0.302000 999 21.669296 999 -0.592449 0.899765 0.045777 0.054662 999 999 54411.891108 0.588207 999 999 999 999 999 999 999 3.860933e-05 2.245700e-06
SDSS8495 999 0.214400 999 20.818311 999 0.752183 0.462808 -0.023261 0.041468 999 999 53689.900309 0.344898 999 999 999 999 999 999 999 8.455501e-05 4.237832e-06
sn1993o 999 0.051000 999 17.611990 999 -0.706037 0.091597 -0.081418 0.044622 999 999 49134.235562 0.116592 999 999 999 999 999 999 999 1.608172e-03 4.936979e-05
sn2007qe 999 0.024000 999 16.049638 999 0.760377 0.045646 0.052278 0.026197 999 999 54429.852079 0.037482 999 999 999 999 999 999 999 6.788736e-03 1.802983e-04
SDSS722 999 0.086520 999 18.714902 999 -0.471121 0.186268 -0.086990 0.034734 999 999 53610.851802 0.624823 999 999 999 999 999 999 999 5.868685e-04 3.696111e-05
