#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor
 05D4av 999 0.509000 999 23.562470 -0.002345 0.874870 0.177420 0.168915 0.030098 999 999 53553.496716 0.263192 999 999 999 999 999 999 999
 04D3mk 999 0.813000 999 24.266485 0.000833 -0.276954 0.284288 -0.140446 0.055738 999 999 53179.531553 0.331035 999 999 999 999 999 999 999
 SDSS13796 999 0.145000 999 19.835511 -0.002657 0.788996 0.115811 -0.018951 0.022018 999 999 54010.411651 0.116707 999 999 999 999 999 999 999
 sn2002dp 999 0.011638 999 14.540479 -0.001610 -0.317701 0.184325 0.054216 0.023004 999 999 52451.216907 0.133086 999 999 999 999 999 999 999
 05D4hn 999 0.842000 999 24.162429 -0.002353 1.250695 0.795928 0.070002 0.072896 999 999 53693.966818 0.852865 999 999 999 999 999 999 999
 04D3oe 999 0.756000 999 24.039752 0.000849 -0.956354 0.275957 -0.242907 0.059112 999 999 53195.295496 0.345421 999 999 999 999 999 999 999
 SDSS14816 999 0.107220 999 19.368555 -0.002610 -0.672492 0.092631 0.021496 0.022413 999 999 54021.316039 0.091738 999 999 999 999 999 999 999
 SDSS16073 999 0.146000 999 20.254956 -0.002503 0.722320 0.185332 -0.006722 0.024205 999 999 54051.433965 0.157013 999 999 999 999 999 999 999
 05D2le 999 0.700000 999 23.949744 0.002514 0.495384 0.307466 -0.016094 0.049602 999 999 53694.970786 0.413202 999 999 999 999 999 999 999
 04D1ks 999 0.798000 999 24.105687 -0.001749 0.694787 0.260227 0.097655 0.060236 999 999 53291.394633 0.384796 999 999 999 999 999 999 999
 SDSS14421 999 0.174900 999 20.450182 -0.001923 -0.745294 0.180032 -0.097691 0.025516 999 999 54010.902477 0.212031 999 999 999 999 999 999 999
 sn1993ag 999 0.049000 999 17.811045 0.000673 -0.829790 0.144982 0.059517 0.047158 999 999 49316.726079 0.249161 999 999 999 999 999 999 999
 05D3hh 999 0.766000 999 24.277996 0.000841 0.539132 0.424481 0.002017 0.062682 999 999 53479.626050 0.424766 999 999 999 999 999 999 999
 SDSS18721 999 0.393000 999 22.095634 -0.002574 0.145965 0.853551 -0.134706 0.070033 999 999 54371.387332 0.737247 999 999 999 999 999 999 999
 SDSS19596 999 0.292000 999 21.541813 -0.001093 0.641902 0.499843 -0.044139 0.045927 999 999 54396.519207 0.430419 999 999 999 999 999 999 999
 SDSS15508 999 0.135000 999 19.605408 -0.002067 0.883064 0.104334 -0.059233 0.022269 999 999 54041.562629 0.091949 999 999 999 999 999 999 999
 SDSS6137 999 0.300100 999 21.521911 -0.002039 0.356017 0.715006 -0.151074 0.051150 999 999 53669.535579 1.077359 999 999 999 999 999 999 999
