#name mBc dmBc mB dmB x0 dx0 x1 dx1 c dc tmax dtmax z
SDSS14261 21.349608 0.121901 21.3518485853 0.0542623712369 5.18911124621e-05 2.60789121332e-06 0.69424755413 0.461519156264 -0.0301689460481 0.0427649671818 54018.8079053 0.367111990825 0.281
SDSS14279 17.546294 0.113705 17.5483626797 0.0256436612125 0.00172136816516 4.12300465683e-05 -0.16244689975 0.0474323302495 0.0905149642821 0.0230327584621 54022.0456449 0.0609931058025 0.04539
SDSS14284 20.228837 0.112763 20.2290408905 0.0302797835494 0.000145975953945 4.08374510445e-06 -0.308779945214 0.1694043586 -0.0685137079402 0.0255849054223 54014.5780809 0.158647919718 0.18107
SDSS14298 21.261083 0.117389 21.2629089026 0.0435108790599 5.63305587594e-05 2.26333893257e-06 1.29834890148 0.380956955927 -0.0809432328172 0.042088092028 54012.4674341 0.338976215698 0.262
SDSS14318 17.780075 0.122398 17.7822087265 0.0542115583141 0.00138909129413 6.97200808882e-05 0.864354392223 0.782044021423 0.0283530989127 0.0321755903365 54072.0735686 0.823627385224 0.05783
SDSS14331 21.246133 0.116607 21.2478035842 0.0420756106156 5.70888536162e-05 2.23161436107e-06 0.141350765433 0.293878415552 0.0141865985186 0.0391316259739 54013.4735318 0.302337734342 0.214
SDSS14397 22.210028 0.131466 22.2122908642 0.0720961976154 2.3479081662e-05 1.56391262611e-06 -1.19279701366 0.603467454962 -0.220851244607 0.0510952594635 54013.9242951 0.746916823049 0.371
SDSS14421 20.452267 0.112491 20.453067339 0.0293222925477 0.000118763230648 3.21147955973e-06 -0.745632632466 0.179967267622 -0.0978078277004 0.0255043073794 54010.9022434 0.212011653821 0.1749
SDSS14437 19.708683 0.112226 19.7100081213 0.0284802729314 0.000235454273576 6.18400179714e-06 0.594179044163 0.11882283235 -0.0948299185679 0.0235995998456 54009.8208711 0.11900341103 0.144
SDSS14451 20.15261 0.112906 20.1535563608 0.0308332550289 0.000156489502477 4.44695030095e-06 0.28919862312 0.167229311977 -0.106928890085 0.0262453684765 54011.8024531 0.17668917128 0.179
SDSS14456 21.823069 0.124052 21.825649165 0.0582042706235 3.35402995433e-05 1.80754536624e-06 -0.0409641556125 0.54747979194 -0.0293960644713 0.0482575236767 54018.6635513 0.463304247918 0.33
SDSS14481 21.384596 0.123692 21.3867031609 0.0585069693687 5.02470865981e-05 2.70586729049e-06 -1.03976476758 0.378597728535 -0.171954087653 0.0496459438455 54020.1904167 0.309302204303 0.255
SDSS14735 21.706687 0.119386 21.7083546466 0.0479975965909 3.7345813567e-05 1.66491417239e-06 -0.0873967279026 0.420307094285 0.0328105471052 0.0446181346828 54013.8084292 0.484648211117 0.3011
SDSS14816 19.370566 0.112285 19.3720191939 0.0283700416108 0.000321241141201 8.46781174965e-06 -0.672679978751 0.0926271706091 0.0213130263783 0.0224051136713 54021.3162873 0.0917242230644 0.10722
SDSS14846 20.941812 0.115872 20.9435900019 0.0398477921806 7.5583635242e-05 2.78770381114e-06 0.633837050251 0.287958777489 -0.0448978764553 0.0360592987314 54024.9738805 0.279668152787 0.2247
SDSS14871 19.436663 0.111824 19.4365134215 0.0267244649027 0.000302876524159 7.48664308957e-06 1.29098974177 0.111951202513 -0.0465021435241 0.0215568116996 54027.3541975 0.123605304023 0.119
SDSS14979 20.178782 0.11256 20.1787261081 0.0295580900205 0.000152900215736 4.16222951148e-06 0.22480061338 0.139584719246 -0.117702828767 0.0251367756504 54025.6028558 0.143253127957 0.1771
SDSS14984 20.867304 0.115225 20.8684383647 0.0384231198846 8.09054332723e-05 2.89832442278e-06 1.01574444643 0.332625060675 0.0729772767815 0.0324742207906 54024.8021723 0.319620589333 0.184
SDSS15057 21.845816 0.131068 21.8479608968 0.0723440164542 3.28619172327e-05 2.20001167568e-06 -2.48498975368 0.545016710563 -0.0589573731567 0.0576105801462 54017.2595505 0.388503922106 0.299
SDSS15129 20.684448 0.114008 20.6858230647 0.0344404858034 9.58446753008e-05 3.04999638535e-06 -0.774077003668 0.222961964258 -0.0705447011768 0.031567099606 54023.8238059 0.250776790675 0.19828
SDSS15132 19.761456 0.111718 19.7627805512 0.0263755718839 0.000224266265551 5.44104012604e-06 1.06779776836 0.146911546943 -0.133295790958 0.021891839199 54026.5270161 0.138606854151 0.1543
SDSS15161 21.203185 0.117491 21.2044770312 0.0439812607508 5.94409422393e-05 2.41907023156e-06 -0.284968656962 0.307134452762 -0.0539954556658 0.0413251458419 54025.3567207 0.359182515094 0.24954
SDSS15171 19.659001 0.11186 19.6597032882 0.0270030819257 0.000246618260595 6.14739075657e-06 0.680036760464 0.143794479947 -0.0785349623751 0.0223343806118 54029.1685133 0.136018640464 0.1392
SDSS15201 21.801005 0.117479 21.8027480979 0.0444991778734 3.42044177882e-05 1.42031522422e-06 -1.24570416135 0.45367997541 0.0943271601548 0.0403010165817 54028.2869928 0.395634217137 0.2085
SDSS15203 20.730053 0.114437 20.7315947643 0.0355932743311 9.18713847265e-05 3.03050535163e-06 1.11421680626 0.263444726798 -0.0247667867982 0.0320076916615 54027.1798088 0.26800847971 0.216
SDSS15213 21.733825 0.127264 21.7348287264 0.0650823862515 3.64735881614e-05 2.19384660343e-06 -0.0841842099471 0.592276047008 -0.0865409094464 0.0563835295208 54026.3231097 0.663553330298 0.307
