#name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar tmax dtmax cov_m_s cov_m_c cov_s_c set ra dec biascor
 SDSS14984 999 0.184000 999 20.865277 -0.002202 1.015726 0.338005 0.073029 0.033852 999 999 54024.802323 0.321387 999 999 999 999 999 999 999
 05D3ci 999 0.515000 999 23.628863 0.000841 2.165300 0.579574 0.168589 0.043542 999 999 53432.384905 0.408416 999 999 999 999 999 999 999
 SDSS20064 999 0.105240 999 19.258363 -0.002615 0.848739 0.181279 0.055758 0.024126 999 999 54413.139349 0.119885 999 999 999 999 999 999 999
 03D1aw 999 0.582000 999 23.575569 -0.001752 0.976748 0.274268 -0.024871 0.036579 999 999 52902.900428 0.354001 999 999 999 999 999 999 999
 05D3jk 999 0.736000 999 23.676471 0.000863 0.779073 0.180117 -0.127005 0.046134 999 999 53507.774276 0.232015 999 999 999 999 999 999 999
 05D4av 999 0.509000 999 23.562471 -0.002345 0.874870 0.273534 0.168916 0.095379 999 999 53553.496715 0.336278 999 999 999 999 999 999 999
 04D3mk 999 0.813000 999 24.266485 0.000833 -0.276951 0.284281 -0.140445 0.055765 999 999 53179.531556 0.330797 999 999 999 999 999 999 999
 SDSS13796 999 0.145000 999 19.835510 -0.002657 0.788998 0.115917 -0.018952 0.022366 999 999 54010.411653 0.116696 999 999 999 999 999 999 999
 05D4hn 999 0.842000 999 24.162430 -0.002353 1.250712 0.792549 0.070005 0.072893 999 999 53693.966818 0.848677 999 999 999 999 999 999 999
 04D3oe 999 0.756000 999 24.039752 0.000849 -0.956358 0.275973 -0.242906 0.059116 999 999 53195.295490 0.345249 999 999 999 999 999 999 999
 SDSS14816 999 0.107220 999 19.368552 -0.002610 -0.672496 0.092626 0.021495 0.022413 999 999 54021.316037 0.091733 999 999 999 999 999 999 999
 SDSS16073 999 0.146000 999 20.254957 -0.002503 0.722350 0.186205 -0.006722 0.024954 999 999 54051.433983 0.157512 999 999 999 999 999 999 999
 05D2le 999 0.700000 999 23.949502 0.002514 0.493621 0.307234 -0.016273 0.049586 999 999 53694.970722 0.412727 999 999 999 999 999 999 999
 04D1ks 999 0.798000 999 24.105685 -0.001749 0.694930 0.260334 0.097651 0.060242 999 999 53291.394541 0.384472 999 999 999 999 999 999 999
 SDSS14421 999 0.174900 999 20.450179 -0.001923 -0.745288 0.179993 -0.097695 0.025518 999 999 54010.902490 0.211967 999 999 999 999 999 999 999
 sn1993ag 999 0.049000 999 17.811046 0.000673 -0.829790 0.144963 0.059518 0.047157 999 999 49316.726080 0.249059 999 999 999 999 999 999 999
 05D3hh 999 0.766000 999 24.277971 0.000841 0.537955 0.423812 0.001834 0.062672 999 999 53479.626208 0.424197 999 999 999 999 999 999 999
 SDSS18721 999 0.393000 999 22.095635 -0.002574 0.145967 0.850383 -0.134705 0.070042 999 999 54371.387339 0.734617 999 999 999 999 999 999 999
 SDSS19596 999 0.292000 999 21.541813 -0.001093 0.641903 0.523133 -0.044140 0.047265 999 999 54396.519207 0.430358 999 999 999 999 999 999 999
 SDSS15508 999 0.135000 999 19.605408 -0.002067 0.883058 0.104327 -0.059233 0.022269 999 999 54041.562622 0.091944 999 999 999 999 999 999 999
 SDSS6137 999 0.300100 999 21.521911 -0.002039 0.356005 0.712543 -0.151073 0.051149 999 999 53669.535598 1.069024 999 999 999 999 999 999 999
 06D4cq 999 0.411000 999 22.559494 -0.002356 0.432629 0.095266 -0.038834 0.021780 999 999 53947.436739 0.106770 999 999 999 999 999 999 999
